"","V1","V2","V3","V4","V5","V6"
"1","Hubbsina turneri","Critically Endangered",497499,"Cyprinodontiformes","Goodeidae",NA
"2","Ictalurus australis","Data Deficient",498370,"Siluriformes","Ictaluridae",NA
"3","Ictalurus mexicanus","Vulnerable",498476,"Siluriformes","Ictaluridae",NA
"4","Ambloplites cavifrons","Least Concern",498639,"Perciformes","Centrarchidae",NA
"5","Ilyodon whitei","Least Concern",498826,"Cyprinodontiformes","Goodeidae",NA
"6","Lagocephalus gloveri","Data Deficient",500780,"Tetraodontiformes","Tetraodontidae","Y"
"7","Ameca splendens","Critically Endangered",500918,"Cyprinodontiformes","Goodeidae",NA
"8","Lithognathus lithognathus","Endangered",505458,"Perciformes","Sparidae","Y"
"9","Lucania interioris","Endangered",506299,"Cyprinodontiformes","Fundulidae",NA
"10","Lutjanus cyanopterus","Vulnerable",506633,"Perciformes","Lutjanidae","Y"
"11","Megupsilon aporus","Extinct",511283,"Cyprinodontiformes","Cyprinodontidae",NA
"12","Menidia conchorum","Endangered",512306,"Atheriniformes","Atherinopsidae","Y"
"13","Neochanna burrowsius","Critically Endangered",545821,"Osmeriformes","Galaxiidae",NA
"14","Neochanna diversus","Endangered",545893,"Osmeriformes","Galaxiidae",NA
"15","Neochanna apoda","Endangered",545955,"Osmeriformes","Galaxiidae",NA
"16","Notropis aguirrepequenoi","Vulnerable",546386,"Cypriniformes","Cyprinidae",NA
"17","Notropis amecae","Extinct in the Wild",546437,"Cypriniformes","Cyprinidae",NA
"18","Notropis aulidion","Extinct",546490,"Cypriniformes","Cyprinidae",NA
"19","Notropis imeldae","Data Deficient",546543,"Cypriniformes","Cyprinidae",NA
"20","Notropis moralesi","Data Deficient",546626,"Cypriniformes","Cyprinidae",NA
"21","Notropis saladonis","Extinct",546742,"Cypriniformes","Cyprinidae",NA
"22","Ophisternon infernale","Endangered",717292,"Synbranchiformes","Synbranchidae",NA
"23","Parioglossus neocaledonicus","Data Deficient",718371,"Perciformes","Microdesmidae","Y"
"24","Diplodus cervinus","Least Concern",718871,"Perciformes","Sparidae",NA
"25","Membras martinica","Least Concern",719371,"Atheriniformes","Atherinopsidae","Y"
"26","Drombus halei","Least Concern",722000,"Perciformes","Gobiidae","Y"
"27","Sciades parkeri","Vulnerable",722547,"Siluriformes","Ariidae","Y"
"28","Microgobius tabogensis","Least Concern",723579,"Perciformes","Gobiidae","Y"
"29","Caranx sexfasciatus","Least Concern",725623,"Perciformes","Carangidae","Y"
"30","Lutjanus apodus","Least Concern",726254,"Perciformes","Lutjanidae","Y"
"31","Ambassis urotaenia","Least Concern",727429,"Perciformes","Ambassidae","Y"
"32","Menidia peninsulae","Least Concern",727668,"Atheriniformes","Atherinopsidae","Y"
"33","Strongylura marina","Least Concern",728197,"Beloniformes","Belonidae","Y"
"34","Pagrus pagrus","Least Concern",788483,"Perciformes","Sparidae","Y"
"35","Favonigobius reichei","Least Concern",816039,"Perciformes","Gobiidae","Y"
"36","Pegasus laternarius","Data Deficient",1073433,"Gasterosteiformes","Pegasidae","Y"
"37","Brachirus harmandi","Least Concern",1076798,"Pleuronectiformes","Soleidae","Y"
"38","Schizothorax griseus","Least Concern",1104938,"Cypriniformes","Cyprinidae",NA
"39","Sinibotia pulchra","Data Deficient",1105075,"Cypriniformes","Cobitidae",NA
"40","Pseudogobio guilinensis","Data Deficient",1105812,"Cypriniformes","Cyprinidae",NA
"41","Channa asiatica","Least Concern",1106176,"Perciformes","Channidae",NA
"42","Sineleotris chalmersi","Least Concern",1106881,"Perciformes","Odontobutidae","Y"
"43","Leptobotia elongata","Vulnerable",1107235,"Cypriniformes","Cobitidae",NA
"44","Luciocyprinus langsoni","Vulnerable",1107712,"Cypriniformes","Cyprinidae",NA
"45","Macropodus opercularis","Least Concern",1108134,"Perciformes","Osphronemidae",NA
"46","Cyprinus rubrofuscus","Least Concern",1108337,"Cypriniformes","Cyprinidae","Y"
"47","Nemacheilus binotatus","Data Deficient",1108548,"Cypriniformes","Nemacheilidae",NA
"48","Gobiobotia kolleri","Data Deficient",1108628,"Cypriniformes","Cyprinidae","Y"
"49","Sinibotia robusta","Data Deficient",1108886,"Cypriniformes","Cobitidae","Y"
"50","Osteochilus salsburyi","Least Concern",1108996,"Cypriniformes","Cyprinidae",NA
"51","Schistura incerta","Data Deficient",1109130,"Cypriniformes","Nemacheilidae","Y"
"52","Onychostoma ovale","Data Deficient",1109527,"Cypriniformes","Cyprinidae",NA
"53","Erromyzon sinensis","Data Deficient",1109806,"Cypriniformes","Balitoridae",NA
"54","Schistura fasciolata","Data Deficient",1110341,"Cypriniformes","Nemacheilidae","Y"
"55","Carassius auratus","Least Concern",1110472,"Cypriniformes","Cyprinidae",NA
"56","Channa maculata","Least Concern",1110977,"Perciformes","Channidae",NA
"57","Coreoperca whiteheadi","Least Concern",1111219,"Perciformes","Percichthyidae","Y"
"58","Schistura hingi","Least Concern",1111469,"Cypriniformes","Nemacheilidae",NA
"59","Luciobrama macrocephalus","Data Deficient",1111639,"Cypriniformes","Cyprinidae","Y"
"60","Oreonectes platycephalus","Data Deficient",1111876,"Cypriniformes","Nemacheilidae",NA
"61","Mylopharyngodon piceus","Data Deficient",1112111,"Cypriniformes","Cyprinidae",NA
"62","Squalidus argentatus","Data Deficient",1112586,"Cypriniformes","Cyprinidae","Y"
"63","Clarias fuscus","Least Concern",1112953,"Siluriformes","Clariidae",NA
"64","Gobiobotia meridionalis","Data Deficient",1113692,"Cypriniformes","Cyprinidae",NA
"65","Microphysogobio labeoides","Data Deficient",1113820,"Cypriniformes","Cyprinidae",NA
"66","Schizothorax lissolabiatus","Least Concern",1114081,"Cypriniformes","Cyprinidae",NA
"67","Pseudorasbora parva","Least Concern",1114203,"Cypriniformes","Cyprinidae",NA
"68","Carassius cuvieri","Endangered",1114496,"Cypriniformes","Cyprinidae",NA
"69","Chanodichthys erythropterus","Least Concern",1115090,"Cypriniformes","Cyprinidae",NA
